# 20240201T1155
# SOURCE PREFIX PATHS
# IGSR:HGSVC2: 'ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC2'
# IGSR:HGSVC3: 'ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3'
# AWS:HPRC: 's3-us-west-2.amazonaws.com/human-pangenomics/index.html?prefix='
SIN	hgsvc_sample_number	phase	sample	family	member	population	supergroup	sex	is_child	verkko_assembly_batch	datatype	remote_collection	accession	join_key	filename	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	subfolder	remote_path	igsr_folder_exists	igsr_file_exists	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_num_grt_100kbp	total_num_grt_1Mbp
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	m64119e_230519_064527.hifi_reads.fastq.gz	13.6	18207	18780	40756067574	2296487	20220831_JAX_HiFi/NA19238	IGSR:HGSVC3:/working/20220831_JAX_HiFi/NA19238	yes	no	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	m64119e_230531_095655.hifi_reads.fastq.gz	14.8	18483	19032	44305746605	2463056	20220831_JAX_HiFi/NA19238	IGSR:HGSVC3:/working/20220831_JAX_HiFi/NA19238	yes	no	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	hifi	unknown	unknown	863c6be8f3fd70a208dbed1d66627fbd	m64119e_230601_192211.hifi_reads.fastq.gz	15.0	18637	19169	44986832134	2481859	20220831_JAX_HiFi/NA19238	IGSR:HGSVC3:/working/20220831_JAX_HiFi/NA19238	yes	no	0.0	0	0	0	0
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	ont	unknown	unknown	75adf25d6941c439aa1205b6f51b0885	20230509_GM19238_UL_eee-prom1-2F-PAO54661_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	13.8	163961	197462	41296610699	478879	20230706_HGSVC_EEE_UL_ONT/GM19238	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19238	yes	yes	9.9	215388	252249	147487	12
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	ont	unknown	unknown	75adf25d6941c439aa1205b6f51b0885	20230509_GM19238_UL_eee-prom1-2G-PAO54700_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	12.9	174222	208380	38849937613	452360	20230706_HGSVC_EEE_UL_ONT/GM19238	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19238	yes	yes	9.6	224913	261944	138435	17
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	ont	unknown	unknown	75adf25d6941c439aa1205b6f51b0885	20230509_GM19238_UL_eee-prom1-2H-PAO54690_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	12.4	166807	198609	37054332117	425841	20230706_HGSVC_EEE_UL_ONT/GM19238	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19238	yes	yes	9.0	217737	251790	133216	12
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	ont	unknown	unknown	75adf25d6941c439aa1205b6f51b0885	20230516_GM19238_UL_eee-prom1-3C-PAO38706_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	11.2	155716	184187	33636338951	385700	20230706_HGSVC_EEE_UL_ONT/GM19238	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19238	yes	yes	7.9	205033	236561	122751	3
SIN:19238	1	Yr1	NA19238	Y117	mother	YRI	AFR	female	False	3	ont	unknown	unknown	75adf25d6941c439aa1205b6f51b0885	20230518_GM19238_UL_eee-prom1-1C-PAO38706_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	4.9	132334	155302	14822191130	189069	20230706_HGSVC_EEE_UL_ONT/GM19238	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19238	yes	yes	3.2	182305	208411	54040	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376	0084eee3b48a9c5f8aedae509138c28d	NA19239_20191205_CLEE_m54336U_191005_142313.ccs.fastq.gz	7.3	16766	16843	21765178943	1311115	20191205_YRI_PacBio_NA19239_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	yes	yes	0.0	0	0	0	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376	0084eee3b48a9c5f8aedae509138c28d	NA19239_20191205_CLEE_m54336U_191007_123158.ccs.fastq.gz	1.9	16860	16929	5603146805	335706	20191205_YRI_PacBio_NA19239_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	yes	yes	0.0	0	0	0	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376	0084eee3b48a9c5f8aedae509138c28d	NA19239_20191205_CLEE_m64039_190823_190750.ccs.fastq.gz	6.4	14149	14242	19118505988	1350773	20191205_YRI_PacBio_NA19239_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	yes	yes	0.0	0	0	0	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376	0084eee3b48a9c5f8aedae509138c28d	NA19239_20191205_CLEE_m64039_190910_140737.ccs.fastq.gz	3.2	14134	14227	9488845298	671638	20191205_YRI_PacBio_NA19239_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	yes	yes	0.0	0	0	0	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376	0084eee3b48a9c5f8aedae509138c28d	NA19239_20191205_CLEE_m64039_190911_201425.ccs.fastq.gz	3.4	11710	11725	10290895343	880841	20191205_YRI_PacBio_NA19239_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	yes	yes	0.0	0	0	0	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376	0084eee3b48a9c5f8aedae509138c28d	NA19239_20191205_CLEE_m64039_190915_204135.ccs.fastq.gz	2.1	12049	12095	6216854155	517170	20191205_YRI_PacBio_NA19239_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	yes	yes	0.0	0	0	0	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	hifi	20191205_YRI_PacBio_NA19239_HIFI	PRJEB58376	0084eee3b48a9c5f8aedae509138c28d	NA19239_20191205_CLEE_m64039_190917_025247.ccs.fastq.gz	2.9	12039	12086	8587655408	714831	20191205_YRI_PacBio_NA19239_HIFI	IGSR:HGSVC2:/working/20191205_YRI_PacBio_NA19239_HIFI	yes	yes	0.0	0	0	0	0
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	ont	20211013_ONT_Rebasecalled	PRJEB58376	efb9eea7cbce9323af6079dbed1b9ed2	20220510_220504_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	23.2	160238	185340	69516545438	887639	20211013_ONT_Rebasecalled/NA19239	IGSR:HGSVC3:/working/20211013_ONT_Rebasecalled/NA19239	yes	yes	16.5	208533	237586	252782	5
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	ont	20211013_ONT_Rebasecalled	PRJEB58376	efb9eea7cbce9323af6079dbed1b9ed2	20220515_220510_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	6.9	151348	174139	20653287556	308430	20211013_ONT_Rebasecalled/NA19239	IGSR:HGSVC3:/working/20211013_ONT_Rebasecalled/NA19239	yes	yes	4.7	203365	229389	73857	1
SIN:19239	2	Yr1	NA19239	Y117	father	YRI	YRI	male	False	3	ont	20211013_ONT_Rebasecalled	PRJEB58376	efb9eea7cbce9323af6079dbed1b9ed2	20220517_220511_21-lee-006_PC24B149_3F_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	12.4	157657	179214	37254984650	468333	20211013_ONT_Rebasecalled/NA19239	IGSR:HGSVC3:/working/20211013_ONT_Rebasecalled/NA19239	yes	yes	8.8	203417	228627	138468	1
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	hifi	unknown	unknown	6dface6d01f4563db4d511fc13251a6c	NA19240_20191002_CLEE_m54336U_190827_013439.ccs.fastq.gz	6.8	12991	12943	20260572671	1585495	20191005_YRI_PacBio_NA19240_HiFi	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	yes	yes	0.0	0	0	0	0
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	hifi	unknown	unknown	6dface6d01f4563db4d511fc13251a6c	NA19240_20191002_CLEE_m54336U_190828_075428.ccs.fastq.gz	7.5	13089	13086	22390597664	1725800	20191005_YRI_PacBio_NA19240_HiFi	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	yes	yes	0.0	0	0	0	0
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	hifi	unknown	unknown	6dface6d01f4563db4d511fc13251a6c	NA19240_20191002_CLEE_m54336U_190829_230546.ccs.fastq.gz	5.1	13090	13086	15210091498	1172276	20191005_YRI_PacBio_NA19240_HiFi	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	yes	yes	0.0	0	0	0	0
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	hifi	unknown	unknown	6dface6d01f4563db4d511fc13251a6c	NA19240_20191002_CLEE_m64039_190922_223056.ccs.fastq.gz	2.8	15515	15665	8464613929	546025	20191005_YRI_PacBio_NA19240_HiFi	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	yes	yes	0.0	0	0	0	0
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	hifi	unknown	unknown	6dface6d01f4563db4d511fc13251a6c	NA19240_20191002_CLEE_m64039_190930_063309.ccs.fastq.gz	2.6	12149	12183	7709662873	636216	20191005_YRI_PacBio_NA19240_HiFi	IGSR:HGSVC2:/working/20191005_YRI_PacBio_NA19240_HiFi	yes	yes	0.0	0	0	0	0
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	hifi	unknown	unknown	6dface6d01f4563db4d511fc13251a6c	m64119e_230520_160121.hifi_reads.fastq.gz	13.8	17791	18316	41294142931	2393298	20220831_JAX_HiFi/NA19240	IGSR:HGSVC3:/working/20220831_JAX_HiFi/NA19240	yes	no	0.0	0	0	0	0
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	hifi	unknown	unknown	6dface6d01f4563db4d511fc13251a6c	m64119e_230611_140644.hifi_reads.fastq.gz	12.1	17869	18336	36190427769	2087909	20220831_JAX_HiFi/NA19240	IGSR:HGSVC3:/working/20220831_JAX_HiFi/NA19240	yes	no	0.0	0	0	0	0
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	hifi	unknown	unknown	6dface6d01f4563db4d511fc13251a6c	m64119e_230619_151314.hifi_reads.fastq.gz	10.1	17654	18178	30308213717	1768020	20220831_JAX_HiFi/NA19240	IGSR:HGSVC3:/working/20220831_JAX_HiFi/NA19240	yes	no	0.0	0	0	0	0
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	hifi	unknown	unknown	6dface6d01f4563db4d511fc13251a6c	m84046_231007_214225_s2.hifi_reads.bc2078.fastq.gz	30.8	24706	25812	92328406822	3814050	20231126_UW_HiFi/NA19240	IGSR:HGSVC3:/working/20231126_UW_HiFi/NA19240	yes	no	0.0	0	0	0	0
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	hifi	unknown	unknown	6dface6d01f4563db4d511fc13251a6c	m84046_231113_224421_s1.hifi_reads.bc2078.fastq.gz	1.0	23114	24185	2981216520	130589	20231126_UW_HiFi/NA19240	IGSR:HGSVC3:/working/20231126_UW_HiFi/NA19240	yes	no	0.0	0	0	0	0
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	hifi	unknown	unknown	6dface6d01f4563db4d511fc13251a6c	m84046_231117_203108_s3.hifi_reads.bc2078.fastq.gz	2.3	23662	24837	6894380404	295385	20231126_UW_HiFi/NA19240	IGSR:HGSVC3:/working/20231126_UW_HiFi/NA19240	yes	no	0.0	0	0	0	0
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	ont	unknown	unknown	7db42ba886c8531f806b03ba81b29c11	20230328_GM19240_UL_eee-prom1-2G-PAK58474_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	8.2	138065	186365	24552987653	460689	20230706_HGSVC_EEE_UL_ONT/GM19240	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19240	yes	yes	5.1	217959	266366	75811	32
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	ont	unknown	unknown	7db42ba886c8531f806b03ba81b29c11	20230328_GM19240_UL_eee-prom1-2H-PAK84678_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	4.3	124175	158229	12837485604	240521	20230706_HGSVC_EEE_UL_ONT/GM19240	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19240	yes	yes	2.6	190790	228452	41617	7
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	ont	unknown	unknown	7db42ba886c8531f806b03ba81b29c11	20230405_GM19240_UL_eee-prom1-2F-PAK69241_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	5.4	132377	168401	16122247659	289987	20230706_HGSVC_EEE_UL_ONT/GM19240	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19240	yes	yes	3.3	199289	237146	52906	7
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	ont	unknown	unknown	7db42ba886c8531f806b03ba81b29c11	20230405_GM19240_UL_eee-prom1-2G-PAK68964_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	11.4	141215	171704	34184939373	551383	20230706_HGSVC_EEE_UL_ONT/GM19240	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19240	yes	yes	7.5	199852	232625	118160	6
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	ont	unknown	unknown	7db42ba886c8531f806b03ba81b29c11	20230406_GM19240_UL_eee-prom1-2F-PAK69241_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	5.8	117120	150710	17500856113	372053	20230706_HGSVC_EEE_UL_ONT/GM19240	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19240	yes	yes	3.3	188026	224134	54839	4
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	ont	unknown	unknown	7db42ba886c8531f806b03ba81b29c11	20230406_GM19240_UL_eee-prom1-2H-PAK98241_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	8.2	128966	162939	24462803996	444257	20230706_HGSVC_EEE_UL_ONT/GM19240	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19240	yes	yes	5.0	195325	230808	80410	4
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	ont	unknown	unknown	7db42ba886c8531f806b03ba81b29c11	20230411_GM19240_UL_eee-prom1-3D-PAK98068_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1.8	137719	178726	5484155815	121685	20230706_HGSVC_EEE_UL_ONT/GM19240	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19240	yes	yes	1.1	212941	255452	17186	2
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	ont	unknown	unknown	7db42ba886c8531f806b03ba81b29c11	20230412_GM19240_UL_eee-prom1-3D-PAK98068_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	0.7	153387	185086	2206966141	29956	20230706_HGSVC_EEE_UL_ONT/GM19240	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19240	yes	yes	0.5	206660	241672	7851	0
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	ont	unknown	unknown	7db42ba886c8531f806b03ba81b29c11	20230413_GM19240_UL_eee-prom1-2E-PAM01184_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	12.5	159493	186847	37486888967	495160	20230706_HGSVC_EEE_UL_ONT/GM19240	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19240	yes	yes	9.0	204170	235631	140587	5
SIN:19240	3	Yr1	NA19240	Y117	daughter	YRI	AFR	female	True	3	ont	unknown	unknown	7db42ba886c8531f806b03ba81b29c11	20230414_GM19240_UL_eee-prom1-2C-PAK90224_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	5.1	141586	166423	15194315878	235141	20230706_HGSVC_EEE_UL_ONT/GM19240	IGSR:HGSVC3:/working/20230706_HGSVC_EEE_UL_ONT/GM19240	yes	yes	3.4	190180	219379	55917	1
SIN:00731	4	Yr1	HG00731	PR05	father	PUR	AMR	male	False	2	hifi	20190925_PUR_PacBio_HiFi	PRJEB58376	4c4d4481702463d0716de33a2046eb74	HG00731_20190925_EEE_m54329U_190528_231241.Q20.fastq.gz	6.7	10352	10379	20057436023	1939274	20190925_PUR_PacBio_HiFi	IGSR:HGSVC2:/working/20190925_PUR_PacBio_HiFi	yes	yes	0.0	0	0	0	0
SIN:00731	4	Yr1	HG00731	PR05	father	PUR	AMR	male	False	2	hifi	20190925_PUR_PacBio_HiFi	PRJEB58376	4c4d4481702463d0716de33a2046eb74	HG00731_20190925_EEE_m54329U_190531_175004.Q20.fastq.gz	7.4	10378	10403	22243710769	2145564	20190925_PUR_PacBio_HiFi	IGSR:HGSVC2:/working/20190925_PUR_PacBio_HiFi	yes	yes	0.0	0	0	0	0
SIN:00731	4	Yr1	HG00731	PR05	father	PUR	AMR	male	False	2	hifi	20190925_PUR_PacBio_HiFi	PRJEB58376	4c4d4481702463d0716de33a2046eb74	HG00731_20190925_EEE_m54329U_190601_235636.Q20.fastq.gz	6.9	10371	10397	20803296068	2007819	20190925_PUR_PacBio_HiFi	IGSR:HGSVC2:/working/20190925_PUR_PacBio_HiFi	yes	yes	0.0	0	0	0	0
SIN:00731	4	Yr1	HG00731	PR05	father	PUR	AMR	male	False	2	hifi	20190925_PUR_PacBio_HiFi	PRJEB58376	4c4d4481702463d0716de33a2046eb74	HG00731_20190925_EEE_m54329U_190606_045526.Q20.fastq.gz	6.7	10367	10393	20155799090	1946139	20190925_PUR_PacBio_HiFi	IGSR:HGSVC2:/working/20190925_PUR_PacBio_HiFi	yes	yes	0.0	0	0	0	0
SIN:00731	4	Yr1	HG00731	PR05	father	PUR	AMR	male	False	2	hifi	20190925_PUR_PacBio_HiFi	PRJEB58376	4c4d4481702463d0716de33a2046eb74	HG00731_20190925_EEE_m54329U_190906_205127.Q20.fastq.gz	6.7	16109	16305	20153687851	1249604	20190925_PUR_PacBio_HiFi	IGSR:HGSVC2:/working/20190925_PUR_PacBio_HiFi	yes	yes	0.0	0	0	0	0
SIN:00731	4	Yr1	HG00731	PR05	father	PUR	AMR	male	False	2	ont	20211013_ONT_Rebasecalled	PRJEB58376	ff400e864dea3fe18eb94fbe35859596	20220510_220504_21-lee-006_PC24B149_1D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	9.2	122426	149995	27732221090	519187	20211013_ONT_Rebasecalled/HG00731	IGSR:HGSVC3:/working/20211013_ONT_Rebasecalled/HG00731	yes	yes	5.4	187724	217149	90429	1
SIN:00731	4	Yr1	HG00731	PR05	father	PUR	AMR	male	False	2	ont	20211013_ONT_Rebasecalled	PRJEB58376	ff400e864dea3fe18eb94fbe35859596	20220510_220504_21-lee-006_PC24B149_3C_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	6.0	138328	168189	17988955484	299723	20211013_ONT_Rebasecalled/HG00731	IGSR:HGSVC3:/working/20211013_ONT_Rebasecalled/HG00731	yes	yes	3.8	201431	232659	60396	0
SIN:00731	4	Yr1	HG00731	PR05	father	PUR	AMR	male	False	2	ont	20211013_ONT_Rebasecalled	PRJEB58376	ff400e864dea3fe18eb94fbe35859596	20220510_220505_21-lee-006_PC24B149_3C_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	16.5	149957	179162	49544043330	892957	20211013_ONT_Rebasecalled/HG00731	IGSR:HGSVC3:/working/20211013_ONT_Rebasecalled/HG00731	yes	yes	10.9	214270	245845	163638	6
SIN:00731	4	Yr1	HG00731	PR05	father	PUR	AMR	male	False	2	ont	20211013_ONT_Rebasecalled	PRJEB58376	ff400e864dea3fe18eb94fbe35859596	20220511_220506_21-lee-006_PC24B149_1D_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	4.9	118790	146449	14614573010	238862	20211013_ONT_Rebasecalled/HG00731	IGSR:HGSVC3:/working/20211013_ONT_Rebasecalled/HG00731	yes	yes	2.8	183587	213126	47554	0
SIN:00731	4	Yr1	HG00731	PR05	father	PUR	AMR	male	False	2	ont	20211013_ONT_Rebasecalled	PRJEB58376	ff400e864dea3fe18eb94fbe35859596	20230801_230726_23-lee-007_PCA100115_3D-run18_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	24.6	122048	148680	73858012624	1368435	20211013_ONT_Rebasecalled/HG00731	IGSR:HGSVC3:/working/20211013_ONT_Rebasecalled/HG00731	yes	yes	14.5	185904	214811	242309	3
