# AUTOGEN TABLE - DO NOT EDIT
# 20230822T1551
# Samples in batch: 39
sample	read_type	source	statistic	value	rel_path	batch_number
HG00171	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	total_length_grt_0bp	18803145779.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	total_length_grt_100kbp	13995879797.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	total_num_grt_0bp	262443.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	total_num_grt_100kbp	63036.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	cov_xfold_grt_0bp_at_3Gbp	5.2	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	cov_xfold_grt_100kbp_at_3Gbp	4.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	length_N50_grt_0bp	187407.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	length_N50_grt_100kbp	231800.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	total_length_grt_0bp	15610578397.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	total_length_grt_100kbp	12024758418.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	total_num_grt_0bp	170330.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	total_num_grt_100kbp	56774.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	cov_xfold_grt_0bp_at_3Gbp	6.1	20230501_HGSVC_UL_ONT-UW/HG00171/20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	cov_xfold_grt_100kbp_at_3Gbp	4.7	20230501_HGSVC_UL_ONT-UW/HG00171/20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	length_N50_grt_0bp	175384.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	length_N50_grt_100kbp	214632.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	total_length_grt_0bp	18290138450.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
HG00171	ont	20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	total_length_grt_100kbp	13958359056.0	20230501_HGSVC_UL_ONT-UW/HG00171/20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	1
