	SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	N_10K	SUM_10K	N_100K	SUM_100K	N_1M	SUM_1M	QV_MEAN	QV_MED	QV_MAX
99	GM19129	GM19129_20211215_UL_eee-prom1-1D-PAK55439_guppy-5.0.11-sup-prom_fastq_pass	63754	3244977770	50898.4184521756	23700.5	117011	75	835813	68066.6823920976	40542	3170998416	10755	1864828652	0	0	14.5876587278144	14.6419406006126	56.66676455374
100	GM19129	GM19129_20210921_UL_eee-prom1-1B-PAH95198_guppy-5.0.11-sup-prom_fastq_pass	2963	59203877	19981.058724266	674	93963	10	419832	43563.9701073638	757	56980895	175	27570507	0	0	20.5781349855906	16.5517076079683	60
101	GM19129	GM19129_20220104_UL_eee-prom1-1D-PAJ02871_guppy-5.0.11-sup-prom_fastq_pass	1037871	45187049973	43538.2142607318	17197	110742	45	1706378	63666.8896156519	626867	43763840510	139543	24556141715	10	12074411	14.8733729028468	14.9799179092102	55.3387272919322
102	GM19129	GM19129_20210928_UL_eee-prom1-3G-PAH95198_guppy-5.0.11-sup-prom_fastq_pass	74652	4209223910	56384.6100573327	33786.5	109857	13	875255	67081.0380191483	55950	4141870089	13316	2293453536	0	0	12.6880555512479	12.3859260940003	60
103	GM19129	GM19129_20211215_UL_eee-prom1-1C-PAK55818_guppy-5.0.11-sup-prom_fastq_pass	44482	1758593169	39534.9392788094	16636.5	96187	36	796233	54350.9212904422	26057	1701323383	5324	847415880	0	0	14.6215295280497	14.6767427277366	53.1670693272899
104	GM19129	GM19129_20210915_UL_eee-prom1-3D-PAH94870_guppy-5.0.11-sup-prom_fastq_pass	549588	32357580780	58876.0685822835	15844.5	182982	10	2000809	101998.004836342	309358	31727489714	103391	23314298994	140	157004075	13.715736164195	13.5656071401374	59.4359444438299
105	HG02769	HG02769_20211102_UL_eee-prom1-1C-PAI18970_guppy-5.0.11-sup-prom_fastq_pass	14227	425185695	29885.8294088704	3981	113613	49	753307	58294.8815022927	5651	409273358	1310	235137191	0	0	12.9445160428552	12.5391319691395	33.2690671930758
106	HG02769	HG02769_20211117_UL_eee-prom1-3A-PAI18834_guppy-5.0.11-sup-prom_fastq_pass	564	16629342	29484.6489361702	4543.5	107586	132	434072	57760.3308566929	232	15988075	50	9144719	0	0	13.496859528361	12.9860058310392	36.5313425274041
107	HG02769	HG02769_20211104_UL_eee-prom1-1C-PAI18970_guppy-5.0.11-sup-prom_fastq_pass	58695	2142451393	36501.4293040293	11898	99526	17	835770	56554.8061212832	30567	2077460256	6443	1066581383	0	0	12.4455509879317	12.1337928007181	49.1158441205212
108	HG02769	HG02769_20210901_UL_eee-prom1-3F-PAH61842_guppy-5.0.11-sup-prom_fastq_pass	3332	116791878	35051.5840336134	5991.5	121775	135	574224	60951.8913143207	1476	112931425	392	68415688	0	0	12.8640276775173	12.5513976176768	40.9365194410114
109	HG02769	HG02769_20210825_UL_eee-prom1-2C-PAH62122_guppy-5.0.11-sup-prom_fastq_pass	280878	14364866589	51142.7259842352	20712	130051	8	1165972	74715.6502720157	169986	14103378812	48274	8881566461	1	1165972	13.0797360373679	13.0275531228368	58.5776251496174
110	HG02769	HG02769_20210901_UL_eee-prom1-2B-PAH61842_guppy-5.0.11-sup-prom_fastq_pass	3611	136927229	37919.4763223484	7834	118030	137	595067	62012.3652382461	1711	132805208	464	79622427	0	0	12.7452244271582	12.3840747656361	39.7011687985868
111	HG02769	HG02769_20210901_UL_eee-prom1-3B-PAH61842_guppy-5.0.11-sup-prom_fastq_pass	1852	37673220	20341.9114470842	1356	111891	105	438965	47373.2737031197	512	35592441	125	20973440	0	0	12.6021985930439	12.3613978764983	32.3185056724302
112	HG02769	HG02769_20211227_UL_eee-prom1-3A-PAJ09630_guppy-5.0.11-sup-prom_fastq_pass	315667	20220564429	64056.6306550891	28067	152369	17	1248054	87791.8767878086	213275	19863610941	70278	13775244854	12	13015210	13.9003450293555	13.7721722641598	60
113	HG02769	HG02769_20210915_UL_eee-prom1-3B-PAH79896_guppy-5.0.11-sup-prom_fastq_pass	213	283075	1328.99061032864	274	8555	153	51525	5245.31441611039	5	155873	0	0	0	0	12.2547827583399	11.8119822248069	27.4620166826347
114	HG02769	HG02769_20211117_UL_eee-prom1-3A-PAI18834-2_guppy-5.0.11-sup-prom_fastq_pass	5770	245374067	42525.8348353553	16553	106795	62	938358	62045.5463164943	3362	239290264	763	130475365	0	0	12.484514412454	12.0668669641191	49.1927825682322
115	HG02769	HG02769_20211220_UL_eee-prom1-1H-PAJ08316_guppy-5.0.11-sup-prom_fastq_pass	210475	9917794726	47121.0106948569	12911	140409	20	1749075	76582.0208554561	113132	9640151044	33320	6393505184	3	3783667	15.1869244099718	15.1625589292308	60
