	SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	N_10K	SUM_10K	N_100K	SUM_100K	N_1M	SUM_1M	QV_MEAN	QV_MED	QV_MAX
0	HG00732	20221214_HG00732_UL_eee-prom1-2E-PAG68402_guppy-5.0.11-sup-prom_fastq_pass	393021	26101521046	66412.5353250844	38848	134119	36	1400210	77951.8864893329	290318	25693275227	93325	16770801490	1	1400210	15.1370965932903	15.3820936655824	27.3941367537562
1	HG00732	20221228_HG00732_UL_eee-prom1-2A-PAG65779_guppy-5.0.11-sup-prom_fastq_pass	260663	13746032577	52734.8821159888	23928	124820	11	868038	70046.2163156997	180561	13421310570	45462	8170494724	0	0	15.4263827888598	15.6508419166763	32.5700121665648
2	HG00732	20221214_HG00732_UL_eee-prom1-2B-PAG65793_guppy-5.0.11-sup-prom_fastq_pass	380869	24835313123	65206.9691232419	42284	120769	24	1402009	70944.7000049564	301243	24531254177	86586	14811796363	4	4478810	15.3028545277796	15.5610485259807	27.3681145672279
3	HG00732	20221213_HG00732_UL_eee-prom1-2B-PAG65793_guppy-5.0.11-sup-prom_fastq_pass	306626	26378799819	86029.2337212109	60530.5	150064	21	1796297	87492.1658763368	257328	26187956383	99670	18517153835	8	10740292	15.8271602120876	16.2326032540021	31.0751952360419
4	HG00732	20221220_HG00732_UL_eee-prom1-2C-PAG67955_guppy-5.0.11-sup-prom_fastq_pass	533923	45356130128	84948.8224481807	63565	143503	16	1442009	80397.7067119905	450414	45067279211	177734	31408160137	4	4968388	15.5782311754023	15.9118037088933	27.8065105406211
5	HG01573	20221013_HG01573_UL_eee-prom1-1G-PAM78202_guppy-5.0.11-sup-prom_fastq_pass	296876	15703536824	52895.9458629192	23815	127319	38	815972	70605.1644954706	183033	15461731817	56133	9750603030	0	0	15.2326514303962	15.4296876093165	28.5606482539164
6	HG01573	20220920_HG01573_UL_eee-prom1-1C-PAM64632_guppy-5.0.11-sup-prom_fastq_pass	434037	21663862099	49912.4777357691	17549	133258	12	970022	75670.0573874607	249114	21256325488	72809	13603246508	0	0	15.1239604424316	15.1915244940809	30.7439623242918
7	HG01573	20230207_HG01573_UL_eee-prom1-3A-PAG84447_guppy-5.0.11-sup-prom_fastq_pass	1276948	30841927343	24152.8451769375	1965	103835	22	1749280	49207.2087916915	417542	29420353314	96347	15979310213	5	6645363	14.6829247863529	14.6463440862516	31.3953470231618
8	HG01573	20221012_HG01573_UL_eee-prom1-1G-PAM78202_guppy-5.0.11-sup-prom_fastq_pass	136617	8077415181	59124.5246272426	23165	150342	28	845459	81924.9150497866	81731	7970246595	29992	5607067874	0	0	15.4415079052343	15.7022443272889	26.7488983623135
9	HG01573	20221004_HG01573_UL_eee-prom1-1A-PAM23460_guppy-5.0.11-sup-prom_fastq_pass	288507	12710780570	44057.0959110178	7310	147474	12	1198342	76012.3882517191	134987	12420831767	44391	8521646303	3	3331728	14.6028757079515	14.5867555736668	30.6824470969174
10	HG01573	20230209_HG01573_UL_eee-prom1-3A-PAG84447_guppy-5.0.11-sup-prom_fastq_pass	369245	8320248199	22533.1370743003	7169	62138	16	1149767	35981.5081551958	164619	7786120805	15719	2313142548	1	1149767	14.5960685709926	14.6360914555796	26.4689583617457
11	HG01573	20221025_HG01573_UL_eee-prom1-1A-PAM79285_guppy-5.0.11-sup-prom_fastq_pass	223584	19194301284	85848.2775332761	53079.5	166535	14	1283595	98491.27500846	178446	19041880745	69702	13967272295	10	11056811	15.6551031294304	15.941084584874	33.92495546651
12	HG01573	20221011_HG01573_UL_eee-prom1-1C-PAM78043_guppy-5.0.11-sup-prom_fastq_pass	426183	17809820438	41789.1385578496	10022	124781	16	1109290	66616.1391676046	213196	17396185797	60999	10774466928	1	1109290	15.1742265547915	15.3392966776063	30.5593916746253
13	HG01573	20221018_HG01573_UL_eee-prom1-1B-PAM78356_guppy-5.0.11-sup-prom_fastq_pass	167915	13008095675	77468.3362117738	30222	197122	10	1529590	113077.722963329	107778	12865047179	44886	10037974591	46	51029917	15.5210988421533	15.6852953993095	33.3517369855096
14	HG00171	20221011_HG00171_UL_eee-prom1-1A-PAM78120_guppy-5.0.11-sup-prom_fastq_pass	119036	2632661205	22116.5126936389	4250	81675	14	702848	43056.1820918146	44431	2457044092	6713	1097647865	0	0	15.2909848801997	15.4157734665923	32.8783939330714
15	HG00171	20221018_HG00171_UL_eee-prom1-1A-PAM70063_guppy-5.0.11-sup-prom_fastq_pass	213483	19182424651	89854.5769499211	63001	160584	13	1679297	91263.5729326182	176609	19060111563	73928	14037041990	3	3804517	15.8270895079555	16.233079015343	29.3197691743638
16	HG00171	20221101_HG00171_UL_eee-prom1-1A-PAM78908_guppy-5.0.11-sup-prom_fastq_pass	336232	27149232835	80745.5353297723	52935.5	149641	14	937768	86559.8965117702	273592	26928495038	99949	18758101009	0	0	15.5176359960724	15.7860829646118	30.6056385650353
17	HG00171	20221011_HG00171_UL_eee-prom1-1B-PAM78131_guppy-5.0.11-sup-prom_fastq_pass	144767	4245682140	29327.6930515932	7259	94168	16	867239	51251.1670181278	65533	4042574235	12015	2019217314	0	0	15.3545754031539	15.533721730165	31.7125230104609
18	HG00171	20220913_HG00171_UL_eee-prom1-1F-PAM54734_guppy-5.0.11-sup-prom_fastq_pass	169540	15603627059	92035.0776159019	54414	187432	10	1119219	108625.135008542	130370	15488824937	56755	12020610048	9	9564692	15.1399678129888	15.2454772853136	32.3920692384348
19	HG00171	20221013_HG00171_UL_eee-prom1-1B-PAM78131_guppy-5.0.11-sup-prom_fastq_pass	63029	3409664593	54096.7585238541	29724	112507	43	740671	66712.8247576345	45703	3348981221	10985	1892455398	0	0	15.3237213303839	15.5398578541324	27.3534705440502
20	HG00171	20220920_HG00171_UL_eee-prom1-1B-PAM64621_guppy-5.0.11-sup-prom_fastq_pass	177147	18279043716	103185.736794865	74511	175395	17	1054364	100495.473742179	155021	18194893827	69938	13950854968	3	3116745	15.1853657141682	15.3658731703488	33.0282392711885
21	HG00171	20221214_HG00171_UL_eee-prom1-2A-PAG67767_guppy-5.0.11-sup-prom_fastq_pass	310277	21494073123	69273.8202412683	49928	115264	18	1107671	68519.5589001691	263418	21293740822	75186	12446361974	1	1107671	15.40034985556	15.6770268986173	31.2943022553986
22	HG00171	20220913_HG00171_UL_eee-prom1-1E-PAM52641_guppy-5.0.11-sup-prom_fastq_pass	261661	18792101238	71818.5027115237	26887	189129	10	1575598	106878.811176931	168108	18537369788	63001	13988139778	19	21063421	15.0295284999486	15.0818949805776	31.8128025525921
23	HG00171	20221013_HG00171_UL_eee-prom1-1A-PAM78120_guppy-5.0.11-sup-prom_fastq_pass	110334	5815123311	52704.7266572407	27779	111143	21	836839	67475.5836764203	79258	5692778302	18187	3183931737	0	0	15.2757476368664	15.4587815085335	27.3808832293748
24	HG00171	20221213_HG00171_UL_eee-prom1-2A-PAG67767_guppy-5.0.11-sup-prom_fastq_pass	269791	24275611894	89979.3243436586	67684	138297	24	1328569	85544.8703768598	245231	24160602370	89866	16327907903	4	4564280	15.8526876752631	16.2432639393104	29.3894571537419
25	HG02587	20221011_HG02587_UL_eee-prom1-1E-PAM79160_guppy-5.0.11-sup-prom_fastq_pass	136283	11712799329	85944.683702296	53749	165073	18	1569008	98552.3521000401	108938	11625111125	42682	8514651987	9	10625961	15.9775853807858	16.3683018593749	29.4536535398607
26	HG02587	20221018_HG02587_UL_eee-prom1-1C-PAM78364_guppy-5.0.11-sup-prom_fastq_pass	175673	14480447823	82428.4199791658	48983	167684	14	1006376	96913.7522554708	134041	14362068169	52946	10590361722	1	1006376	15.3959119640931	15.6765109069317	28.8623093284217
27	HG02587	20221004_HG02587_UL_eee-prom1-1B-PAM23321_guppy-5.0.11-sup-prom_fastq_pass	235119	11310797126	48106.6911904185	16335	132468	12	1183747	73994.5561615252	131288	11114069757	38616	7099902151	4	4442015	14.6196136378001	14.6995558990985	30.4402951014109
28	HG02587	20221013_HG02587_UL_eee-prom1-1H-PAM78285_guppy-5.0.11-sup-prom_fastq_pass	189555	7961090457	41998.8417978951	22199	92821	14	663128	54037.62273065	121016	7790009842	23418	3679233294	0	0	15.1762243207338	15.3355389372274	32.2692732114331
29	HG02587	20221013_HG02587_UL_eee-prom1-1D-PAM78114_guppy-5.0.11-sup-prom_fastq_pass	41797	3019002234	72230.1178074981	46446	137897	15	1583478	79964.7566027274	32462	2990958034	11180	1998184457	1	1583478	15.3734704510325	15.621835974959	29.5437789776307
30	HG02587	20220920_HG02587_UL_eee-prom1-1D-PAM64430_guppy-5.0.11-sup-prom_fastq_pass	462220	21882340776	47341.8302453377	21687	110299	11	1367296	74267.2371007691	312017	21321596817	59500	11730230964	42	45804873	15.4635110841136	15.6319769776212	31.6904010748061
31	HG02587	20230207_HG02587_UL_eee-prom1-3B-PAG84362_guppy-5.0.11-sup-prom_fastq_pass	752997	21986943040	29199.2438748096	1319	120440	16	1825323	59160.4207749224	269263	21375151029	74079	12944163071	56	68361865	14.5525503998225	14.4513202659138	29.8310718161781
32	HG02587	20221004_HG02587_UL_eee-prom1-1C-PAM23141_guppy-5.0.11-sup-prom_fastq_pass	118307	6759854452	57138.2458518938	31705	120330	10	822180	70676.3510945429	84068	6660960991	22913	3986729007	0	0	15.0410630314225	15.1695751296277	30.098137222911
33	HG02587	20221012_HG02587_UL_eee-prom1-1H-PAM78285_guppy-5.0.11-sup-prom_fastq_pass	145372	8379888265	57644.4450444377	33131	117026	15	1144708	70510.2132399826	106149	8254533834	27729	4828048034	1	1144708	15.6382749387295	15.9624392219838	27.3982475814496
34	HG02587	20221013_HG02587_UL_eee-prom1-1E-PAM79160_guppy-5.0.11-sup-prom_fastq_pass	26082	1881727315	72146.5882601028	47108.5	137086	30	829596	78450.6930370296	20390	1864417561	7000	1240925268	0	0	15.5004986511064	15.7467998897137	31.170944881156
35	HG02587	20221011_HG02587_UL_eee-prom1-1D-PAM78114_guppy-5.0.11-sup-prom_fastq_pass	272884	15411616067	56476.8035758784	20441.5	149509	12	1088542	85585.4248443015	163547	15148121521	52487	10359504034	4	4147443	15.5011691017653	15.7961182048119	28.6364148162969
36	HG02587	20221025_HG02587_UL_eee-prom1-1B-PAM76612_guppy-5.0.11-sup-prom_fastq_pass	205843	19935309621	96847.158373129	68678	168553	15	935255	96257.298939625	176565	19832857225	76475	14938344917	0	0	15.8538920524289	16.2225575633822	28.0384707933311
37	HG01114	20221102_HG01114_UL_eee-prom1-3F-PAK34726_guppy-5.0.11-sup-prom_fastq_pass	236920	16806815477	70938.778815634	45019	136277	20	2123080	79848.3796300225	181772	16634058641	60841	10972227500	3	4432009	14.6690535072973	14.7173683791445	28.4310015059409
38	HG01114	20221130_HG01114_UL_eee-prom1-2B-PAG69678_guppy-5.0.11-sup-prom_fastq_pass	613699	45337432258	73875.6821471112	40742	156538	12	1196479	92029.549113255	452903	44834580246	159690	31535989319	7	7865433	15.6992293660298	15.994234894798	33.7510078455994
39	HG01114	20221207_HG01114_UL_eee-prom1-2B-PAG66283_guppy-5.0.11-sup-prom_fastq_pass	279257	20602427814	73775.868873475	45471	142618	14	1057423	84015.7252509037	221033	20402808544	73340	13688182303	2	2102178	15.5401765503544	15.8109709095365	28.399466046614
40	HG01114	20221206_HG01114_UL_eee-prom1-2B-PAG66283_guppy-5.0.11-sup-prom_fastq_pass	309243	21786782480	70451.982680287	37415	150074	13	1108959	89564.143557612	232739	21524638071	74738	14695095030	2	2147520	15.5982350681712	15.9276905007148	27.2448141193803
41	HG01114	20221025_HG01114_UL_eee-prom1-1C-PAM78971_guppy-5.0.11-sup-prom_fastq_pass	254171	14885742862	58565.8586620818	28638	133728	23	872896	77080.9643026133	167898	14636914961	51905	9474069489	0	0	15.6891641619425	16.0041754312312	28.3656579822748
42	HG01114	20221108_HG01114_UL_eee-prom1-3A-PAM79079_guppy-5.0.11-sup-prom_fastq_pass	639824	21321053391	33323.3098336418	3975	106451	11	639101	55116.7341382916	275593	20752756079	70456	11382877894	0	0	14.5815687914769	14.6041808775717	33.0077628651879
43	HG01114	20221103_HG01114_UL_eee-prom1-3F-PAK34726_guppy-5.0.11-sup-prom_fastq_pass	40385	2849433403	70556.7265816516	47668	127945	45	764454	74943.8111892795	32323	2820470434	10195	1777424711	0	0	14.4261651573438	14.4373144953418	27.2292429738937
44	HG01114	20221101_HG01114_UL_eee-prom1-1B-PAM79352_guppy-5.0.11-sup-prom_fastq_pass	393333	25110721634	63840.8718159931	28825	153194	12	1439443	86314.1170856265	251136	24762433667	90612	17431593733	3	3567692	15.51006148528	15.7675088127726	28.3798336344278
45	HG02018	20221207_HG02018_UL_eee-prom1-2C-PAG68624_guppy-5.0.11-sup-prom_fastq_pass	251719	12047690502	47861.6651980979	28383	98935	26	597498	56324.9066303338	167976	11812257719	38406	5951606066	0	0	15.4798522826132	15.7253204634811	24.9196065354715
46	HG02018	20221108_HG02018_UL_eee-prom1-3B-PAM64235_guppy-5.0.11-sup-prom_fastq_pass	172793	12834251057	74275.2950466744	32316	180902	18	978418	99305.7197419728	108628	12699583022	47889	9820578176	0	0	14.3173717844425	14.3334730239426	28.8073223986977
47	HG02018	20221130_HG02018_UL_eee-prom1-2C-PAM77931_guppy-5.0.11-sup-prom_fastq_pass	386978	18588165267	48034.1654228406	19437	119936	17	984224	65798.3810761401	231022	18159605644	64145	10938076162	0	0	15.2878431172934	15.4676211211953	29.2737439923768
48	HG02018	20221025_HG02018_UL_eee-prom1-1D-PAM78083_guppy-5.0.11-sup-prom_fastq_pass	263814	22391202098	84874.9577277931	52958	167738	10	1064875	95986.5240123224	202942	22205782512	84174	16572848541	3	3093067	15.6114454918844	15.9453745024972	31.6998893446985
49	HG02018	20221102_HG02018_UL_eee-prom1-3H-PAM78744_guppy-5.0.11-sup-prom_fastq_pass	364034	27020535146	74225.3062790838	38893.5	164105	12	1160093	94068.4723473177	259786	26729779453	97016	19359366547	2	2310144	15.2188208173163	15.4157770821215	33.8796929850837
50	HG02018	20221101_HG02018_UL_eee-prom1-1G-PAM79302_guppy-5.0.11-sup-prom_fastq_pass	284170	20944960877	73705.7426082979	34956.5	172266	13	1293235	99456.3235105973	195441	20702980432	72954	15203348217	6	6596646	15.3519391007165	15.5813155057235	30.8408692923716
51	HG02018	20221206_HG02018_UL_eee-prom1-2C-PAG68624_guppy-5.0.11-sup-prom_fastq_pass	464285	21378496316	46046.0629053276	22236	105816	33	1206734	58966.8269891588	282605	20924017499	71449	11350915029	1	1206734	15.3137860966223	15.5820969455357	27.7027659444235
52	HG01352	HG01352_20210804_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass	663593	6861332895	10339.6703928462	584	47344	20	1341202	22860.7700653196	159934	6217074838	8914	1217529572	2	2399318	12.9169043458791	12.6845761702634	49.9454312993607
53	HG01352	HG01352_20210902_UL_eee-prom1-3D-PAH62033_guppy-5.0.11-sup-prom_fastq_pass	107200	6128499348	57168.8372014925	32562	121473	24	850783	71692.3852444989	72831	6050597939	20916	3653305636	0	0	12.6522022295756	12.455234047741	40.5541583390042
54	HG01352	HG01352_20211102_UL_eee-prom1-1A-PAI18864_guppy-5.0.11-sup-prom_fastq_pass	1514382	59117667199	39037.4867100903	14649	102120	20	1447283	60165.3086984126	839964	57404263636	174919	30112527265	19	21583519	14.3274832682107	14.3223858070196	60
55	HG01352	HG01352_20210831_UL_eee-prom1-3D-PAH62033_guppy-5.0.11-sup-prom_fastq_pass	729440	25008926333	34285.104097664	4122	137597	11	1220376	70673.2919860005	291438	24127687978	76937	15521428419	11	11926630	13.1461743628395	12.9959298813089	54.8621565303061
56	HG01352	HG01352_20210817_UL_eee-prom1-1A-PAH35732_guppy-5.0.11-sup-prom_fastq_pass	149810	5698326638	38037.0244843468	8343.5	117256	17	2686558	66190.4710703321	71857	5508862952	18463	3279651782	16	21760073	12.6950057915201	12.4562359946539	60
57	HG01352	HG01352_20210917_UL_eee-prom1-3A-PAH79870_guppy-5.0.11-sup-prom_fastq_pass	124964	3650419611	29211.7698777248	2749.5	127771	16	947672	62717.4838955988	43640	3491718473	11488	2189142879	0	0	13.0295318244053	12.8626537074881	60
58	HG01352	HG01352_20210915_UL_eee-prom1-3A-PAH79870_guppy-5.0.11-sup-prom_fastq_pass	701836	34396893653	49009.8736072245	11624	156666	12	1303493	86229.4028049886	364302	33589438877	111201	23186902375	31	33774190	14.1547757965957	14.1778649722248	60
59	HG01352	HG01352_20210819_UL_eee-prom1-1C-PAH34287_guppy-5.0.11-sup-prom_fastq_pass	26540	1555305820	58602.3293142427	39211.5	105544	16	759417	63720.0064703016	20797	1536192867	4965	821414386	0	0	12.6711358709145	12.5457335150799	60
60	HG01352	HG01352_20210805_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass	255359	3006361717	11773.0791434804	839	46931	35	614801	23723.1223240176	71137	2737667258	3743	507765718	0	0	12.40325246852	12.131500388959	48.9445917162062
61	HG01352	HG01352_20210803_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass	2145617	18822850994	8772.698479738	485	47015	19	818206	21334.2520724476	432383	16810165769	25039	3442679897	0	0	13.58314865251	13.3861156340218	58.1595736423749
62	HG01352	HG01352_20210928_UL_eee-prom1-3A-PAH79825_guppy-5.0.11-sup-prom_fastq_pass	682192	15502354717	22724.327926742	4969	70132	18	1030069	40372.0762020296	286226	14736748369	33807	5310954660	1	1030069	13.6489435722355	13.5441048494472	54.2801885287958
63	HG01352	HG01352_20210817_UL_eee-prom1-1C-PAH34287_guppy-5.0.11-sup-prom_fastq_pass	298111	17543877819	58850.1525237244	31315	129691	16	1361074	76547.9599684209	201130	17301250374	60365	10920782549	1	1361074	13.4896819744461	13.5134775063518	54.6778501402275
64	HG02059	HG02059_20210922_UL_eee-prom1-2A-PAH80144_guppy-5.0.11-sup-prom_fastq_pass	496763	32467500350	65358.1292286261	30341	152177	8	2233066	91685.133319847	349201	31961865941	106572	21711763146	18	21434538	14.6247886626879	14.5731109115885	60
65	HG02059	HG02059_20210908_UL_eee-prom1-2F-PAH61827_guppy-5.0.11-sup-prom_fastq_pass	431008	19225666897	44606.2878113631	6221	183438	10	2680173	97450.2502532303	186451	18566115087	57370	13538972487	274	328835698	13.3944572123442	13.3084464491932	60
66	HG02059	HG02059_20211103_UL_eee-prom1-1B-PAI18840-2_guppy-5.0.11-sup-prom_fastq_pass	159372	2947661666	18495.4801721758	2263	83296	23	981856	41571.5458993479	47497	2726279902	7418	1250337340	0	0	12.2552936076209	11.9030638515347	54.1000803407815
67	HG02059	HG02059_20211102-2_UL_eee-prom1-1B-PAI18840_guppy-5.0.11-sup-prom_fastq_pass	656806	16748948457	25500.6020910284	2807	113438	11	2798502	58350.8100120682	222052	15882767229	48502	9212556015	53	67157395	14.2349886762481	14.1338147506602	55.6566187380505
68	HG02059	HG02059_20210817_UL_eee-prom1-1B-PAH34460_guppy-5.0.11-sup-prom_fastq_pass	309858	6560112727	21171.351803084	2499	108061	23	2821948	53105.5749158994	88050	6075770751	19139	3482197101	56	72942126	13.5945228231286	13.3940198153161	60
69	HG02059	HG02059_20210913_UL_eee-prom1-1A-PAH61827_guppy-5.0.11-sup-prom_fastq_pass	38798	1681234440	43333.0181968143	14533.5	120213	20	909847	69892.961122552	21311	1642829319	5279	970728677	0	0	12.1998999542034	11.9067944834078	49.3821851636848
70	HG02059	HG02059_20211109_UL_eee-prom1-1B-PAI18586_guppy-5.0.11-sup-prom_fastq_pass	1663093	43367388838	26076.3462043313	5531	80761	16	3594584	47691.6538993256	712423	41207953206	106672	17265665582	125	178261619	14.1910237288192	14.0688636087501	60
71	HG02059	HG02059_20210817_UL_eee-prom1-1D-PAH40455_guppy-5.0.11-sup-prom_fastq_pass	882488	44721040061	50676.0885825076	26884	109592	10	1490761	68017.5817352407	596367	43902223029	137744	24265547593	7	8150033	13.2639308817211	13.2162102425041	60
72	HG02059	HG02059_20210819_UL_eee-prom1-1B-PAH34460_guppy-5.0.11-sup-prom_fastq_pass	3826	51527378	13467.6889702039	1826.5	85129	67	367486	34519.3725846626	815	45398833	135	21918810	0	0	12.3827732396619	12.1216512205953	56.4671547536139
73	HG02059	HG02059_20211103_UL_eee-prom1-1B-PAI18840_guppy-5.0.11-sup-prom_fastq_pass	530	16179572	30527.4943396226	9165	93475	18	323526	48821.3050243066	255	15142040	52	8048187	0	0	11.4172669896158	10.9792702584023	37.7941141723611
74	HG02059	HG02059_20211102_UL_eee-prom1-1B-PAI18840_guppy-5.0.11-sup-prom_fastq_pass	11590	397416760	34289.625539258	10001.5	101365	14	1099041	58191.6452871125	5796	378080172	1147	202184377	1	1099041	12.468722998704	12.037824676415	34.2919313312624
75	HG02059	HG02059_20211104_UL_eee-prom1-1B-PAI18840_guppy-5.0.11-sup-prom_fastq_pass	17141	168298803	9818.49384516656	721	80589	59	628025	31542.6753703376	2578	149681886	421	72817775	0	0	13.167743918811	12.9055890841034	40.0034544395525
