SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	QV_MEAN	QV_MED	QV_MAX	PASS_MEAN	PASS_MED	PASS_MAX
HG00268	JAX_HiFi_HG00268_m64039_210116_000705	2398474	38745604047	16154.2731115701	15306	16149	45	50027	4027.04345178299	29.2180077159385	28.8413698768802	60	8.6869209338938	8	952
HG00268	JAX_HiFi_HG00268_m64119_210121_165545	1977487	34097346437	17242.766418692	16298	17340	45	50248	4489.59737506701	30.7626914199174	30.5220453292478	60	9.25464440474198	9	1274
HG00268	JAX_HiFi_HG00268_m64119_210113_164007	2533107	41920656089	16549.1059355171	15618	16545	46	50295	4256.41372464807	31.2353662178308	31.0015046661471	60	9.02737744595866	8	2220
HG01505	JAX_HiFi_HG01505_m64039_220227_171917	1900837	28779311333	15140.3362481896	14339	15607	45	58562	4570.46617116274	34.7675417565911	34.8011402052131	60	13.1337358226928	12	60
HG01505	JAX_HiFi_HG01505_m64119_220223_062343	2505090	39435278163	15742.0604301642	14802	16190	43	63853	4786.47003825654	33.378238296577	33.1494998120278	60	11.6252629646041	10	60
HG01505	JAX_HiFi_HG01505_m64119_220302_072750	2347805	38945895965	16588.2157866603	15570	16835	44	65112	4608.89435330964	32.8310760095774	32.797439875235	60	11.0799240141324	10	60
HG01596	JAX_HiFi_HG01596_m64119_220209_052029	2662076	40235755511	15114.4278040897	14150	15259	44	57170	4169.78034366771	33.8897720718694	33.7863031557756	60	11.7212844411655	11	60
HG01596	JAX_HiFi_HG01596_m64039_220216_202046	2493266	37776612022	15151.4567727631	14187	15317	46	59619	4191.43169118999	33.752385829874	33.6522133774777	60	12.5055389196339	12	60
HG01596	JAX_HiFi_HG01596_m64119_220214_210708	2649380	40373164603	15238.7217398033	14256	15414	43	63807	4244.86710308331	33.9678954650922	34.0307537839333	60	12.0713253666896	11	60
HG02011	JAX_HiFi_HG02011_m64039_220121_204950	2288533	41862702544	18292.3744355008	17478	18711	42	67150	4874.18296749506	32.7588439960517	32.6663404741446	60	10.6834413137149	10	60
HG02011	JAX_HiFi_HG02011_m64119_220114_220850	2388311	40664209125	17026.3458674352	16114	17458	45	66437	4870.99427563703	34.0482062855554	34.1287688975907	60	11.6444554331492	11	60
HG02011	JAX_HiFi_HG02011_m64119_220104_202343	2266129	38400859840	16945.5754019299	16091	17370	45	65808	4725.91448111921	34.1799531798776	34.2724460839822	60	11.6180508700078	11	60
HG02492	JAX_HiFi_HG02492_m64119_220206_072658	2635068	38411561152	14577.0663800707	13739	14637	44	74405	3682.06992140558	33.8304861588342	33.6570175204666	60	11.9522630915028	11	60
HG02492	JAX_HiFi_HG02492_m64039_220221_051108	2587583	37742075255	14585.8414029618	13747	14648	44	55231	3684.10881116524	34.7241916479742	34.7948891140741	60	12.6202966243015	12	60
HG02492	JAX_HiFi_HG02492_m64119_220226_041620	2508323	35028481581	13964.9006850394	13073	13983	44	53654	3641.2921343857	33.5852132737571	33.3609117055032	60	12.5552829519962	12	60
HG03009	JAX_HiFi_HG03009_m64039_220126_024139	2688836	41536740986	15447.8521508936	14521	15693	42	63659	4293.57302450838	34.0126038160941	34.0517596039368	60	12.0093389853453	11	60
HG03009	JAX_HiFi_HG03009_m64119_220119_065557	2709608	41625561858	15362.2080603541	14440	15583	43	64018	4250.71984489755	33.5273538366953	33.3268097559426	60	11.3734071496689	10	60
HG03009	JAX_HiFi_HG03009_m64119_220126_013959	2560276	39490937833	15424.4846387655	14497	15647	45	65838	4266.55096459621	33.1997334258636	32.8670079845934	60	11.3433235323067	10	60
HG03065	JAX_HiFi_HG03065_m64039_220123_061725	2427090	40938319913	16867.2442773033	16115	17309	44	62415	4601.80789277717	33.2057423888833	33.1217901314491	60	11.237095863771	10	60
HG03065	JAX_HiFi_HG03065_m64119_220116_090326	2447262	40643311989	16607.6668493198	15819	16956	43	59054	4437.34674090705	32.9125574452776	32.7115348167854	60	11.017410886125	10	60
HG03065	JAX_HiFi_HG03065_m64119_220121_210303	2508489	42755461087	17044.308779907	16267	17484	45	70517	4636.24044420154	33.5123743192755	33.6151603690692	60	11.3507784965372	11	60
HG03371	JAX_HiFi_HG03371_m64119_220207_182351	2329718	40880450021	17547.3812800519	16480	18012	45	65219	5289.34625765179	32.312196013255	32.1082983560711	60	10.9246307922246	10	60
HG03371	JAX_HiFi_HG03371_m64039_220209_170329	2554264	44463444044	17407.5365913625	16340	17937	45	62854	5326.47645839576	32.6124114761921	32.3491424499872	60	10.915739719935	10	60
HG03371	JAX_HiFi_HG03371_m64119_220123_063014	2353235	41642513355	17695.8584055566	16629	18184	44	67788	5334.48564582839	32.790485920127	32.5163824633418	60	10.9115676929843	10	60
HG03456	JAX_HiFi_HG03456_m64119_211226_162136	2330999	33998123088	14585.2156470252	13872	14818	84	59083	3756.96716533566	33.2342040380905	33.0937283361136	60	12.6195944314004	12	60
HG03456	JAX_HiFi_HG03456_m64119_220107_181428	2703988	39850430169	14737.6505254461	14028	14993	45	60349	3784.75824577642	34.5075404602209	34.664894874778	60	12.1284303036848	11	60
HG03456	JAX_HiFi_HG03456_m64039_220111_082237	2783068	40350319319	14498.5028461396	13792	14733	43	60309	3763.97477227083	34.598364066253	34.5697052858997	60	12.369010387098	11	60
HG03732	JAX_HiFi_HG03732_m64119_220228_203256	2540311	34571378373	13609.1125744053	12837	13884	45	60555	3968.90672877649	35.0098196742487	34.8356829708376	60	13.4736439750881	12	60
HG03732	JAX_HiFi_HG03732_m64039_220307_165844	2316741	31618690581	13647.9177348698	12872	13926	43	55539	3984.76104327455	35.1328089045602	35.1131336376786	60	13.7806254561904	13	60
HG03732	JAX_HiFi_HG03732_m64039_220309_035544	2299242	33027941831	14364.7088175146	13502	14437	44	62774	3779.03191655172	34.1896116543907	34.2078504607171	60	12.7324374728715	12	60
HG03807	JAX_HiFi_HG03807_m64039_210118_125023	2640678	40872195546	15477.9172417084	14630	15479	46	50058	3794.37617498064	32.0384305043794	31.8873013899912	60	9.7046705429439	9	2060
HG03807	JAX_HiFi_HG03807_m64119_210124_053806	2201364	36029752484	16367.0126721433	15556	16524	46	50264	4116.60714590809	31.8912004548348	31.8202627775691	60	10.0196482726164	10	1398
HG03807	JAX_HiFi_HG03807_m64119_210125_120547	2427942	38631033984	15911.0201083881	15078	15968	45	50234	3929.26956228427	32.2378653274896	32.1966814594155	60	9.92008828876472	9	1760
HG04217	JAX_HiFi_HG04217_m64039_210119_191818	2116235	36698809429	17341.5567878804	16609	17544	46	50369	4565.12682693978	30.8579549735801	30.5882298594304	60	9.07764733122739	9	980
HG04217	JAX_HiFi_HG04217_m64119_210213_082612	2040923	37656172566	18450.5601465611	17580	18602	45	50898	4748.12538633632	30.5915818905308	30.4201999259951	60	8.70297605544158	8	769
HG04217	JAX_HiFi_HG04217_m64119_210212_015818	2012969	36641357465	18202.6436894955	17366	18353	45	50406	4664.11006122986	29.6698020211833	29.2628167062479	60	8.70741874315998	8	1168
NA18534	JAX_HiFi_NA18534_m64039_220124_154343	2513961	37510515379	14920.8819782805	14152	15061	45	54473	3718.26454755574	33.5532901478016	33.4625555059408	60	12.3337756631865	11	60
NA18534	JAX_HiFi_NA18534_m64119_220117_195935	2530579	37666699828	14884.617246883	14115	15005	45	55299	3698.63369116129	33.0294540759883	32.8335756022379	60	12.071159209019	11	60
NA18534	JAX_HiFi_NA18534_m64119_220124_155829	2749498	41332113988	15032.6037654874	14249	15184	43	54148	3773.79806729285	34.2784504993216	34.2967452551442	60	12.0935992679391	11	60
NA19331	JAX_HiFi_NA19331_m64039_210509_081132	1746708	32391361808	18544.2339578224	17423	18581	45	50506	4872.69962039889	30.2911251089916	30.1507086056732	60	8.53843115162924	8	827
NA19331	JAX_HiFi_NA19331_m64039_210510_142933	1889466	34676106613	18352.3316180339	17243	18363	44	50292	4779.95676890902	30.2234116175923	29.9855837251243	60	8.49051107561607	8	1468
NA19331	JAX_HiFi_NA19331_m64119_210503_041604	1890498	34950413939	18487.4112212761	17317	18488	46	50468	4941.46820120668	30.9002091035449	30.8017682166276	60	8.87549788468435	8	1298
NA19650	JAX_HiFi_NA19650_m64119_211228_031859	2523265	40285521744	15965.6325213563	15248	16419	85	56501	4342.35086202578	33.5905987794044	33.5766509545885	60	12.1028298652738	11	60
NA19650	JAX_HiFi_NA19650_m64119_220109_051040	2549229	40365476610	15834.3862438408	15139	16283	43	60412	4286.24442859808	33.7898055668891	33.7591519488374	60	11.4593616344393	11	60
NA19650	JAX_HiFi_NA19650_m64039_220108_102842	2560232	40099465046	15662.4341255011	14945	16036	44	62341	4211.36930021176	33.4695720484549	33.3670898369052	60	12.1071504457409	11	60
NA19705	JAX_HiFi_NA19705_m64119_211225_064020	2538876	42160497010	16605.9693384001	15570	16956	50	67663	4861.60933359733	33.4700311568753	33.3351706867525	60	11.1129409234638	10	60
NA19705	JAX_HiFi_NA19705_m64119_220106_071815	2463621	40491153180	16435.6259262281	15438	16760	44	64152	4757.50731320029	33.0543736516291	32.8690121123719	60	11.1359182276819	10	60
NA19705	JAX_HiFi_NA19705_m64039_220109_212617	2250458	36703638862	16309.4085124006	15300	16616	45	63788	4788.28224123858	32.5956818747204	32.1569415384864	60	11.6439102618223	11	60
