	SAMPLE	CELL	N	SUM	MEAN	MED	N50	MIN	MAX	SD	QV_MEAN	QV_MED	QV_MAX	PASS_MEAN	PASS_MED	PASS_MAX
0	HG00514	m54329U_200715_194535.ccs	1530335	25992945599	16985.1343653514	16941	17112	46	39108	1705.73575415691	29.6646035632966	29.6089919062615	60
1	HG00514	m54329U_200717_235548.ccs	1618672	27513146431	16997.3573589955	16956	17128	49	36787	1708.03824530386	29.7851360399086	29.7115871271405	60
2	HG00514	m54329U_200719_061020.ccs	1353586	22984885701	16980.7353954607	16939	17109	47	37465	1703.48505305511	28.9359905859105	28.6284592874344	60
0	HG00731	m54329U_190528_231241	1939274	20057436023	10342.7550841191	10316	10352	488	21981	612.302502144589	31.7333024531322	31.2876200047655	60
1	HG00731	m54329U_190531_175004	2145564	22243710769	10367.3023824971	10342	10378	421	20944	605.750619919564	33.079044389117	32.7607555481932	60
2	HG00731	m54329U_190601_235636	2007819	20803296068	10361.1411526637	10335	10371	534	21693	610.456297877049	32.0851555480264	31.7555344780775	60
3	HG00731	m54329U_190606_045526	1946139	20155799090	10356.8137168003	10331	10367	348	21888	611.540510898864	32.1898919554815	31.8324528213237	60
4	HG00731	m54329U_190906_205127	1249604	20153687851	16128.0596500972	15931	16109	630	29929	1691.13657298102	31.22870358747	31.6357669131263	60
0	HG00732	m54329U_190604_224858	2312093	23417865203	10128.4270152628	10116	10145	203	20767	535.626581305132	32.624786553436	32.2948733898318	60
1	HG00732	m54329U_190610_071123	1118036	11336950234	10140.0583111814	10128	10158	360	20800	536.852662224654	32.9730268473604	32.5903193776388	60
2	HG00732	m54329U_190611_132246	896218	9083662424	10135.5500826808	10124	10153	720	21247	537.172168928389	31.7885937925235	31.4340711193798	60
3	HG00732	m54329U_190612_193411	691584	7007704227	10132.8316256594	10121	10150	634	21293	533.357942238164	30.3739905997173	29.8803058718911	60
4	HG00732	m54329U_190705_000551	938937	11431803870	12175.2618865803	12137	12197	597	17942	802.834215936525	30.9477782923411	30.5744554773739	60
5	HG00732	m54329U_200528_200534	1195369	27398751242	22920.7476871158	22351	22875	44	50393	3753.26172685508	28.3697950961095	28.2451296740764	60
6	HG00732	m64076_200601_234627	1175891	26672257665	22682.5935949846	22152	22646	46	50271	3649.34835280369	28.09522379163	27.860800464896	60
7	HG00732	m64076_200603_055852	955105	22123656631	23163.5858162192	22586	23124	46	50426	3808.39680037938	27.9765105346848	27.8007885188182	60
0	HG00733	m54329U_190607_185248	1165188	12442674191	10678.6837754937	10657	10697	403	21659	654.896010454417	31.1920943608816	30.7639015945091	60
1	HG00733	m54329U_190615_010947	897059	11762148999	13111.9012227735	13048	13129	719	19287	1017.60475028899	29.7445578604805	29.326433601092	60
2	HG00733	m54329U_190617_231905	853596	11221698288	13146.3810608297	13083	13166	588	17566	1018.78311072606	30.4619321884202	30.0971400095703	60
3	HG00733	m54329U_190619_052546	684358	8977930886	13118.7636967786	13056	13136	621	17710	1013.92603257024	29.9844484249759	29.4455514121033	60
4	HG00733	m54329U_190629_180018	1167599	15348796405	13145.6059871583	13086	13168	390	19587	1032.95358213353	31.449292301186	31.3157425266539	60
5	HG00733	m54329U_190701_222759	1263676	16588746431	13127.3731803089	13062	13145	161	21094	1017.40587987686	31.1305896540628	30.9625968092159	60
6	HG00733	m54329U_190827_173812	1627773	27460032904	16869.694302584	16681	16861	529	29981	1804.52590386054	30.0832723859599	30.2801385602713	60
7	HG00733	m64076_211214_012715	1943753	39252655500	20194.2610506582	19289	20627	86	62248	5010.21897040496	31.0229265425268	30.9687440762701	60
8	HG00733	m64076_211215_225159	1998994	39999489758	20009.8098133361	19098	20403	46	61313	4939.274627528	31.1914020990965	31.3042562296271	60
9	HG00733	m64076_211217_081943	2129673	42997158393	20189.5588632621	19275	20613	47	64697	5000.94198841984	31.2578063397052	31.4262239510496	60
10	HG00733	m64076_211218_173901	2055044	41456239442	20172.9206002402	19261	20599	46	66975	4998.22658164852	31.4082441275776	31.5429883294643	60
11	HG00733	m64076_211221_015212	2044212	41058895922	20085.4392411355	19171	20489	50	60852	4971.4344527985	30.8431135692519	30.8265008810001	60
0	HG01573	m64076_220316_013247	2057341	40449363238	19660.9911716142	18743	19976	172	63490	4796.10983708701	31.5342852541628	31.4499105359856	60
1	HG01573	m64076_220320_103439	2110305	41253642460	19548.6635628499	18635	19849	109	57458	4752.85935513578	30.8030367675389	30.5687389849951	60
2	HG01573	m64076_220321_213115	2241404	44120878584	19684.482843789	18767	20007	183	66605	4809.62336109855	31.6086117750758	31.6361704616439	60
0	HG00171	m54329U_220205_003428	1928463	38407898468	19916.3263531631	18994	20234	87	56389	4806.21391884768	31.7576200465745	31.8792558322879	60
1	HG00171	m54329U_220212_223600	1888830	37600324968	19906.6750146916	18987	20232	46	59340	4808.3023297038	31.6269453596603	31.6352560075417	60
2	HG00171	m54329U_220214_093304	1839826	36632357939	19910.7730508211	18989	20229	45	58207	4804.17880812149	31.565114268058	31.7032373309963	60
0	HG02587	m54329U_220331_234450	1925653	37162336791	19298.5635475343	18434	19482	166	59783	4370.30811874026	31.5566408200671	31.5634593399218	60
1	HG02587	m64076_220219_025128-bc1001	151448	2849025023	18811.9025870266	17988	19119	562	49277	4710.66603631491	31.4761137801456	31.3226025940741	60
2	HG02587	m64076_220219_025128-bc1002	497182	9687671151	19485.1606675222	18585	19847	120	50182	4939.7181362831	31.2753554646138	31.1309348939125	60
3	HG02587	m64076_220220_134423	50728	858784213	16929.1951782053	16904	17567	45	40723	4618.4343505553	30.1779840991342	29.2697045962647	60
