sample	datatype	file_name	remote_path	accession	file_type	file_basename
HG00732	ont	20221228_HG00732_UL_eee-prom1-2A-PAG65779_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00732	unknown	FASTQ	20221228_HG00732_UL_eee-prom1-2A-PAG65779_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733	ont	HG00733_20210727_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown	FASTQ	HG00733_20210727_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733	ont	HG00733_20210728_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown	FASTQ	HG00733_20210728_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733	ont	HG00733_20210729_UL_eee-prom1-1E-PAH36624-2_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown	FASTQ	HG00733_20210729_UL_eee-prom1-1E-PAH36624-2_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733	ont	HG00733_20210729_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown	FASTQ	HG00733_20210729_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733	ont	HG00733_20220215_UL_eee-prom1-1D-PAJ02977_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown	FASTQ	HG00733_20220215_UL_eee-prom1-1D-PAJ02977_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733	ont	HG00733_20220215_UL_eee-prom1-1F-PAJ09070_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown	FASTQ	HG00733_20220215_UL_eee-prom1-1F-PAJ09070_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733	ont	HG00733_20220215_UL_eee-prom1-2E-PAJ10244_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown	FASTQ	HG00733_20220215_UL_eee-prom1-2E-PAJ10244_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00733	ont	HG00733_20220215_UL_eee-prom1-2G-PAJ10244_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG00733	unknown	FASTQ	HG00733_20220215_UL_eee-prom1-2G-PAJ10244_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG00864	hifi	m64076_220206_113231.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/HG00864	unknown	FASTQ	m64076_220206_113231.hifi_reads.fastq.gz
HG00864	hifi	m64076_220212_235702.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/HG00864	unknown	FASTQ	m64076_220212_235702.hifi_reads.fastq.gz
HG00864	hifi	m64076_220214_105131.hifi_reads	IGSR:HGSVC3:/working/20220418_UW_HiFi/HG00864	unknown	FASTQ	m64076_220214_105131.hifi_reads.fastq.gz
HG01114	ont	20221025_HG01114_UL_eee-prom1-1C-PAM78971_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown	FASTQ	20221025_HG01114_UL_eee-prom1-1C-PAM78971_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01114	ont	20221101_HG01114_UL_eee-prom1-1B-PAM79352_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown	FASTQ	20221101_HG01114_UL_eee-prom1-1B-PAM79352_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01114	ont	20221102_HG01114_UL_eee-prom1-3F-PAK34726_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown	FASTQ	20221102_HG01114_UL_eee-prom1-3F-PAK34726_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01114	ont	20221103_HG01114_UL_eee-prom1-3F-PAK34726_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown	FASTQ	20221103_HG01114_UL_eee-prom1-3F-PAK34726_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01114	ont	20221108_HG01114_UL_eee-prom1-3A-PAM79079_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown	FASTQ	20221108_HG01114_UL_eee-prom1-3A-PAM79079_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01114	ont	20221130_HG01114_UL_eee-prom1-2B-PAG69678_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown	FASTQ	20221130_HG01114_UL_eee-prom1-2B-PAG69678_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01114	ont	20221206_HG01114_UL_eee-prom1-2B-PAG66283_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown	FASTQ	20221206_HG01114_UL_eee-prom1-2B-PAG66283_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01114	ont	20221207_HG01114_UL_eee-prom1-2B-PAG66283_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01114	unknown	FASTQ	20221207_HG01114_UL_eee-prom1-2B-PAG66283_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
HG01352	hifi	m54329U_200819_192918.ccs	IGSR:HGSVC3:/working/20210509_UW_HiFi/HG01352	unknown	FASTQ	m54329U_200819_192918.Q20.fastq.gz
HG01352	hifi	m54329U_200824_191532.ccs	IGSR:HGSVC3:/working/20210509_UW_HiFi/HG01352	unknown	FASTQ	m54329U_200824_191532.Q20.fastq.gz
HG01352	hifi	m54329U_200826_013039.ccs	IGSR:HGSVC3:/working/20210509_UW_HiFi/HG01352	unknown	FASTQ	m54329U_200826_013039.Q20.fastq.gz
HG01352	hifi	m54329U_210320_235902.hifi_reads	IGSR:HGSVC3:/working/20210509_UW_HiFi/HG01352	unknown	FASTQ	m54329U_210320_235902.hifi_reads.fastq.gz
HG01352	hifi	m54329U_210330_183359.hifi_reads	IGSR:HGSVC3:/working/20210509_UW_HiFi/HG01352	unknown	FASTQ	m54329U_210330_183359.hifi_reads.fastq.gz
HG01352	ont	HG01352_20210803_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass	IGSR:HGSVC3:/working/20230501_HGSVC_UL_ONT-UW/HG01352	unknown	FASTQ	HG01352_20210803_UL_eee-prom1-3B-PAH34256_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz
